index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
373,CHEMBL3666540,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NC[C@H]1CCCO1,active,492.595,4.8306,2,4,7.455931956
374,CHEMBL3666541,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)O[C@H]1CCOC1,active,451.498,4.3051,1,5,7.031517051
375,CHEMBL3666542,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,active,525.628,5.3875,1,5,7.096910013
376,CHEMBL3666543,CCc1cc(C)c(NC(=O)c2ccc(N(C)CCOC)nc2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,557.67,5.26,1,6,7.070581074
377,CHEMBL3666544,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(NC(C)C)nc1,active,527.644,5.9977,2,5,7.045757491
378,CHEMBL3666545,Cc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)c1ccc(N2CCOCC2)nc1,active,542.615,4.15502,1,7,6.22184875
379,CHEMBL3666546,CCc1cc(C)c(NC(=O)O[C@@H]2CCOC2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,479.552,4.8675,1,5,6.602059991
380,CHEMBL3666547,CCc1cc(C)c(NC(=O)O[C@H]2CCOC2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,479.552,4.8675,1,5,6.853871964
381,CHEMBL3666548,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(N2CCCC2)nc1,active,521.621,4.7759,1,6,6.48148606
382,CHEMBL3666549,Cc1ccc(-c2nnc3n2CCC(c2ccc(C#N)cc2)C3)cc1NC(=O)c1ccc(NC(C)C)nc1,active,491.599,5.3228,2,7,6.522878745
383,CHEMBL3666550,Cc1ncc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(N2CCCC2)nc1,active,494.599,4.529,1,6,6.341988603
384,CHEMBL3666551,Cc1cnc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(NC(C)C)nc1,inactive,482.588,4.7491,2,6,4.301029996
385,CHEMBL3666552,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)nc1NC(=O)c1ccc(NC(C)C)nc1,inactive,482.588,4.7491,2,6,4.4867824
386,CHEMBL3666553,CC(C)CNC(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)nn1C,inactive,408.506,3.08908,2,5,4.301029996
387,CHEMBL3666554,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NCC(C)C,active,446.551,4.3059,2,4,6.055517328
388,CHEMBL3666555,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)N1CCCC1,inactive,444.535,4.1561,1,4,4.732828272
389,CHEMBL3666556,COCCNC(=O)Nc1cc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)ccc1C,active,448.523,3.2963,2,5,6.420216403
390,CHEMBL3666557,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(NC(C)C)nc1,active,509.61,4.996,2,6,6.853871964
391,CHEMBL3666558,COCCN(C)C(=O)Nc1cc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)ccc1C,inactive,462.55,3.6385,1,5,4.301029996
392,CHEMBL3666559,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(N2CCN(C)CC2)nc1,active,550.663,3.9275,1,7,6.638272164
393,CHEMBL3666560,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(N2CCNCC2)nc1,active,536.636,3.5853,2,7,6.09420412
394,CHEMBL3666561,COCCN(C)c1ccc(C(=O)Nc2cc(C(=O)N3CCC4(CC3)OCc3cc(C#N)ccc34)ccc2C)cn1,active,539.636,4.2583,1,7,6.978810701
395,CHEMBL3666562,COCCNc1ccc(C(=O)Nc2cc(C(=O)N3CCC4(CC3)OCc3cc(C#N)ccc34)ccc2C)cn1,active,525.609,4.234,2,7,6.552841969
396,CHEMBL3666563,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(NCCO)nc1,active,511.582,3.5799,3,7,6.443697499
397,CHEMBL3666564,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(N(C)CCO)nc1,active,525.609,3.6042,2,7,6.607303047
398,CHEMBL3666565,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NC[C@@H]1CCCO1,active,474.561,3.8289,2,5,7.301029996
399,CHEMBL3666566,Cc1ncc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NCC(C)C,inactive,447.539,3.7009,2,5,4.431798276
400,CHEMBL3666567,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NC1CCN(C)CC1,active,487.604,3.7441,2,5,6.508638306
401,CHEMBL3666568,Cc1ncc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(N2CCCC2)nc1,intermediate,522.609,4.1709,1,7,5.958607315
402,CHEMBL3666569,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NCC1CCCO1,active,474.561,3.8289,2,5,6.508638306
403,CHEMBL3666570,Cc1ncc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)c1ccc(NC(C)C)nc1,intermediate,510.598,4.391,2,7,5.145693958
404,CHEMBL3666571,Cc1ccc(-c2nnc3n2CCC(c2ccc(C#N)cc2)C3)cc1NC(=O)N1CCCC1,inactive,426.524,4.4829,1,5,4.301029996
405,CHEMBL3666572,COCCNC(=O)Nc1cc(-c2nnc3n2CCC(c2ccc(C#N)cc2)C3)ccc1C,intermediate,430.512,3.6231,2,6,5.446116973
406,CHEMBL3666573,Cc1ccc(-c2nnc3n2CCC(c2ccc(C#N)cc2)C3)cc1NC(=O)NCC(C)C,intermediate,428.54,4.6327,2,5,5.196542884
407,CHEMBL3666574,Cc1ncc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCC(C)C,intermediate,419.529,4.059,2,4,5.216811309
408,CHEMBL3666575,COCCNC(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cnc1C,intermediate,421.501,3.0494,2,5,5.59345982
