"molecule_ChemBL_ID	canonical_Smiles	MW	LogP	pIC50"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.33"
"CHEMBL5075240	O=S(=O)(Nc1ccc(OCc2ccccc2)cc1)c1ccc(F)cc1	357.41	4.21	5.64"
"CHEMBL5074175	O=S(=O)(Nc1ccc(OCc2ccccc2)cc1)c1ccccc1	339.42	4.07	6.96"
"CHEMBL238338	N#Cc1ccc(-c2ccccc2OCCO)cc1C(F)(F)F	307.27	3.62	5.81"
"CHEMBL235784	COC(=O)COc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1	335.28	3.8	5.88"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.76"
"CHEMBL1822155	COc1ccc(C2Nc3cccc4cccc(c34)N2)cc1O	292.34	4.09	4.46"
"CHEMBL4778550	CCOC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCCc4ccccc43)c2)s1	470.57	4.32	5.69"
"CHEMBL367364	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	309.29	3.24	7.92"
"CHEMBL3262343	CC(C)(O)c1cn(-c2ccc(Cl)c(C(F)(F)F)c2)nn1	305.69	3.17	4.31"
"CHEMBL3410852	N#Cc1ccc(N2C3CCC2CC(=O)C3)cc1C(F)(F)F	294.28	3.28	7.18"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.14"
"CHEMBL1210909	C[C@]12CN(O)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12	395.34	1.94	5.89"
"CHEMBL391548	N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F	263.22	3.95	7.4"
"CHEMBL182186	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])cc1	284.27	1.91	6.75"
"CHEMBL178469	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	307.27	3.02	6.39"
"CHEMBL182412	O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	321.3	3.41	6.71"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.48"
"CHEMBL490955	Cc1ccccc1Oc1ccc(C#N)cc1Cl	243.69	4.31	7.19"
"CHEMBL806	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	276.21	3.21	6.24"
"CHEMBL1946812	CC1(C)CN(CCO)C(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1	342.32	2.19	6.58"
"CHEMBL63560	C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.31"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.76"
